측정시간,로트번호,웨이퍼번호,공정명,설비번호,온도_섭씨,압력_Pa,합격여부
2024-03-01 08:00,LOT-0398,4,산화,EQ-03,295.0,1019.7,1
2024-03-01 20:00,LOT-0227,4,식각,EQ-04,300.1,995.6,1
2024-03-02 04:00,LOT-0462,17,포토,EQ-03,301.4,1013.2,1
2024-03-02 11:00,LOT-0175,2,세정,EQ-03,301.7,1015.5,1
2024-03-02 13:00,LOT-0093,1,포토,EQ-04,299.0,1005.3,-1
2024-03-03 14:00,LOT-0254,9,산화,EQ-01,295.7,1016.6,1
2024-03-04 07:00,LOT-0492,2,포토,EQ-02,302.5,1000.9,-1
2024-03-04 08:00,LOT-0644,6,세정,EQ-01,301.3,1001.2,1
2024-03-04 18:00,LOT-0229,4,증착,EQ-01,296.6,1003.2,1
2024-03-04 22:00,LOT-0278,23,세정,EQ-03,300.3,1004.1,-1
2024-03-05 03:00,LOT-0093,23,산화,EQ-03,305.5,1001.8,-1
2024-03-05 04:00,LOT-0490,5,포토,EQ-04,300.4,1017.8,1
2024-03-05 08:00,LOT-0092,20,세정,EQ-02,296.4,1001.3,1
2024-03-05 10:00,LOT-0313,3,식각,EQ-04,298.7,1006.2,1
2024-03-05 18:00,LOT-0216,17,증착,EQ-02,298.9,1004.8,1
2024-03-06 02:00,LOT-0004,24,포토,EQ-01,301.0,1027.8,1
2024-03-06 14:00,LOT-0698,17,세정,EQ-01,302.7,1002.7,-1
2024-03-06 15:00,LOT-0027,6,식각,EQ-04,297.1,1013.8,1
2024-03-07 03:00,LOT-0179,8,증착,EQ-02,298.0,1024.7,1
2024-03-07 14:00,LOT-0383,23,식각,EQ-01,303.1,1000.4,1
2024-03-07 15:00,LOT-0568,14,식각,EQ-01,302.2,1003.2,1
2024-03-07 22:00,LOT-0981,2,포토,EQ-01,304.1,1007.3,1
2024-03-07 23:00,LOT-0602,13,세정,EQ-04,295.5,999.2,-1
2024-03-08 15:00,LOT-0321,13,증착,EQ-01,297.1,1019.9,1
2024-03-08 17:00,LOT-0965,24,포토,EQ-02,303.1,1006.1,1
2024-03-09 01:00,LOT-0732,22,세정,EQ-02,297.1,1018.5,1
2024-03-09 02:00,LOT-0458,12,증착,EQ-03,301.0,1014.3,1
2024-03-09 13:00,LOT-0403,7,산화,EQ-02,299.8,1010.1,1
2024-03-09 16:00,LOT-0773,19,세정,EQ-03,297.7,1017.7,1
2024-03-09 19:00,LOT-0040,23,포토,EQ-01,304.5,1007.5,1
2024-03-10 03:00,LOT-0035,9,식각,EQ-02,299.9,1018.5,1
2024-03-10 11:00,LOT-0023,4,포토,EQ-03,298.4,999.4,1
2024-03-10 12:00,LOT-0644,24,식각,EQ-02,299.5,1004.0,1
2024-03-10 22:00,LOT-0424,6,세정,EQ-03,300.7,1019.7,-1
2024-03-11 07:00,LOT-0979,22,증착,EQ-01,295.2,993.1,1
2024-03-11 10:00,LOT-0625,24,세정,EQ-01,297.4,1013.8,-1
2024-03-11 19:00,LOT-0048,25,증착,EQ-03,296.1,1006.7,1
2024-03-12 06:00,LOT-0923,20,산화,EQ-03,293.6,1005.6,1
2024-03-12 22:00,LOT-0906,6,산화,EQ-01,303.0,1004.4,1
2024-03-13 11:00,LOT-0250,9,증착,EQ-03,304.4,1020.3,1
