측정시간,로트번호,공정명,온도_섭씨,압력_Pa,합격여부
2024-03-01 10:00,LOT-0139,증착,302.7,1005.9,1
2024-03-01 16:00,LOT-0088,식각,300.1,1001.3,1
2024-03-01 21:00,LOT-0045,증착,292.0,998.9,1
2024-03-02 04:00,LOT-0170,포토,299.0,1021.4,1
2024-03-02 07:00,LOT-0138,식각,291.9,1011.8,1
2024-03-02 19:00,LOT-0122,세정,303.5,1015.5,1
2024-03-02 23:00,LOT-0013,세정,307.6,1027.7,1
2024-03-03 04:00,LOT-0013,증착,306.0,1017.9,-1
2024-03-03 06:00,LOT-0116,산화,301.0,1011.8,1
2024-03-03 17:00,LOT-0132,식각,302.3,1001.5,1
2024-03-03 20:00,LOT-0184,세정,297.5,1019.1,1
2024-03-04 05:00,LOT-0168,식각,301.3,1016.2,1
2024-03-04 12:00,LOT-0155,식각,301.3,1021.4,1
2024-03-04 14:00,LOT-0017,식각,300.2,1010.6,1
2024-03-05 00:00,LOT-0167,식각,289.3,1008.3,-1
2024-03-05 08:00,LOT-0183,포토,301.3,992.3,1
2024-03-05 11:00,LOT-0077,포토,316.4,1016.9,1
2024-03-05 20:00,LOT-0013,세정,319.9,997.3,1
2024-03-06 00:00,LOT-0160,증착,301.9,1007.0,1
2024-03-06 06:00,LOT-0138,포토,303.5,1016.2,1
2024-03-07 05:00,LOT-0054,식각,291.2,1012.2,1
2024-03-07 08:00,LOT-0073,식각,303.8,1010.6,1
2024-03-07 23:00,LOT-0109,포토,297.9,1015.7,1
2024-03-08 00:00,LOT-0101,산화,295.2,995.0,1
2024-03-08 23:00,LOT-0047,식각,320.0,1011.9,1
