로트번호,공정명,설비번호,온도_섭씨,합격여부
LOT-0122,식각,EQ-02,302.5,1
LOT-0097,포토,EQ-04,308.7,1
LOT-0026,산화,EQ-03,303.8,1
LOT-0160,포토,EQ-04,295.7,1
LOT-0023,식각,EQ-04,316.6,1
LOT-0067,산화,EQ-03,303.4,1
LOT-0105,증착,EQ-02,299.8,1
LOT-0059,산화,EQ-01,304.8,1
LOT-0099,세정,EQ-03,292.2,1
LOT-0078,세정,EQ-03,308.5,1
LOT-0108,세정,EQ-03,307.5,1
LOT-0194,산화,EQ-04,294.2,1
LOT-0195,증착,EQ-02,298.8,1
LOT-0059,산화,EQ-04,317.9,1
LOT-0195,증착,EQ-03,298.5,1
LOT-0145,세정,EQ-03,304.0,1
LOT-0059,증착,EQ-04,298.1,1
LOT-0184,식각,EQ-04,312.4,-1
LOT-0015,식각,EQ-04,303.0,1
LOT-0053,세정,EQ-02,305.6,1
