측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,합격여부
2024-03-01 00:00,LOT-0217,EQ-01,산화,297.5,1002.7,51.2,1
2024-03-01 03:00,LOT-0230,EQ-03,산화,297.1,988.5,48.33,1
2024-03-01 06:00,LOT-0231,EQ-02,포토,295.9,1000.7,47.47,1
2024-03-01 12:00,LOT-0220,EQ-02,증착,296.3,1007.2,54.65,1
2024-03-01 16:00,LOT-0303,EQ-02,증착,301.5,999.1,47.28,1
2024-03-02 03:00,LOT-0374,EQ-01,세정,299.6,1007.7,52.99,1
2024-03-02 06:00,LOT-0315,EQ-01,포토,293.4,1017.7,50.62,1
2024-03-02 17:00,LOT-0350,EQ-02,세정,300.8,1006.9,50.84,1
2024-03-03 05:00,LOT-0354,EQ-02,산화,294.0,1018.3,48.94,1
2024-03-03 06:00,LOT-0189,EQ-02,포토,302.0,1016.9,48.01,1
2024-03-03 09:00,LOT-0098,EQ-01,세정,298.1,1011.1,52.89,1
2024-03-03 21:00,LOT-0158,EQ-03,세정,299.0,1016.8,53.73,1
2024-03-04 01:00,LOT-0005,EQ-02,산화,304.8,1018.3,48.32,1
2024-03-04 09:00,LOT-0203,EQ-02,산화,291.7,999.9,52.42,-1
2024-03-05 03:00,LOT-0338,EQ-03,산화,308.9,1024.0,50.01,1
2024-03-05 12:00,LOT-0041,EQ-04,산화,312.4,996.7,51.58,1
2024-03-06 00:00,LOT-0369,EQ-03,식각,304.4,1013.2,49.59,1
2024-03-06 02:00,LOT-0171,EQ-03,산화,302.3,1006.2,48.61,1
2024-03-06 05:00,LOT-0044,EQ-03,포토,297.2,1006.7,46.89,1
2024-03-06 08:00,LOT-0138,EQ-01,식각,304.4,1012.8,46.53,1
2024-03-06 13:00,LOT-0054,EQ-03,포토,299.2,1008.1,49.74,1
2024-03-06 20:00,LOT-0180,EQ-01,포토,298.8,1009.7,49.49,-1
2024-03-06 22:00,LOT-0062,EQ-03,식각,296.8,1010.9,47.59,1
2024-03-07 01:00,LOT-0228,EQ-01,증착,305.7,1004.1,46.69,1
2024-03-07 12:00,LOT-0190,EQ-04,식각,303.4,1013.3,48.33,1
2024-03-07 13:00,LOT-0052,EQ-02,세정,294.2,1002.7,50.73,1
2024-03-08 17:00,LOT-0070,EQ-04,증착,299.6,1016.0,51.67,1
2024-03-08 18:00,LOT-0123,EQ-03,증착,294.7,1002.1,51.91,1
2024-03-09 04:00,LOT-0290,EQ-04,세정,303.7,1013.9,50.03,1
2024-03-09 14:00,LOT-0083,EQ-03,식각,296.3,1007.8,51.37,1
2024-03-10 01:00,LOT-0271,EQ-02,포토,299.7,1023.9,47.45,1
2024-03-10 03:00,LOT-0363,EQ-01,포토,302.3,1004.4,53.04,1
2024-03-10 06:00,LOT-0208,EQ-04,식각,299.2,1022.0,50.08,1
2024-03-10 09:00,LOT-0310,EQ-01,산화,295.0,1009.3,48.26,1
2024-03-10 12:00,LOT-0284,EQ-04,산화,298.2,999.5,47.96,1
2024-03-10 13:00,LOT-0249,EQ-01,산화,294.5,1023.9,47.66,1
2024-03-10 23:00,LOT-0311,EQ-03,증착,305.8,1020.7,49.19,1
2024-03-11 09:00,LOT-0128,EQ-02,식각,303.8,1026.5,51.49,-1
2024-03-11 12:00,LOT-0210,EQ-03,포토,292.9,1009.4,48.35,1
2024-03-11 21:00,LOT-0360,EQ-01,증착,295.3,1020.3,51.64,1
2024-03-11 22:00,LOT-0362,EQ-02,세정,309.1,1025.4,50.11,1
2024-03-12 08:00,LOT-0170,EQ-03,산화,302.7,1014.7,46.45,1
2024-03-12 13:00,LOT-0042,EQ-03,증착,298.7,1036.5,47.57,1
2024-03-13 17:00,LOT-0294,EQ-03,세정,303.8,1011.8,47.94,1
2024-03-14 01:00,LOT-0323,EQ-03,산화,301.4,1021.9,48.91,1
2024-03-14 03:00,LOT-0079,EQ-01,증착,303.2,1007.0,53.41,1
2024-03-14 06:00,LOT-0381,EQ-02,산화,298.4,1008.2,54.52,1
2024-03-14 12:00,LOT-0013,EQ-03,식각,306.6,1011.3,50.33,1
2024-03-14 15:00,LOT-0238,EQ-02,세정,301.0,1013.7,50.38,1
2024-03-15 11:00,LOT-0121,EQ-03,포토,295.2,1016.3,48.26,1
2024-03-15 16:00,LOT-0287,EQ-04,포토,299.8,1018.5,52.02,1
2024-03-16 03:00,LOT-0033,EQ-01,식각,298.7,997.3,48.12,1
2024-03-16 11:00,LOT-0228,EQ-02,산화,301.6,1015.3,48.85,-1
