측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,처리시간_sec,합격여부
2024-03-01 23:00,LOT-0336,EQ-01,식각,297.5,1010.0,49.92,123.1,1.0
2024-03-02 08:00,LOT-0281,EQ-02,포토,299.3,1012.1,47.91,114.6,1.0
2024-03-02 12:00,LOT-0304,EQ-01,세정,297.5,1008.9,51.2,115.3,1.0
2024-03-02 16:00,LOT-0254,EQ-02,식각,294.8,1024.5,51.29,110.5,-1.0
2024-03-03 02:00,LOT-0020,EQ-04,산화,302.6,997.3,45.75,117.4,1.0
2024-03-03 05:00,LOT-0043,EQ-01,식각,300.7,1021.0,49.04,122.2,1.0
2024-03-04 17:00,LOT-0287,EQ-01,증착,298.6,1021.4,,131.8,1.0
2024-03-05 00:00,LOT-0101,EQ-03,산화,298.2,1017.0,49.56,117.8,-1.0
2024-03-05 04:00,LOT-0261,EQ-04,증착,297.6,1014.3,51.24,120.7,1.0
2024-03-05 11:00,LOT-0180,EQ-02,포토,296.1,1015.5,51.45,121.4,1.0
2024-03-05 18:00,LOT-0246,EQ-02,식각,310.1,1008.8,47.13,123.9,-1.0
2024-03-06 01:00,LOT-0043,EQ-03,산화,298.8,1003.6,50.71,115.9,-1.0
2024-03-06 23:00,LOT-0343,EQ-03,증착,297.7,1018.7,48.4,113.7,-1.0
2024-03-07 03:00,LOT-0141,EQ-04,포토,306.1,1018.2,45.53,123.9,1.0
2024-03-07 05:00,LOT-0021,EQ-04,식각,298.7,1019.6,51.23,113.1,1.0
2024-03-07 08:00,LOT-0099,EQ-02,증착,301.4,1011.1,48.64,122.1,1.0
2024-03-07 16:00,LOT-0136,EQ-04,산화,296.1,1020.8,49.95,116.9,1.0
2024-03-07 23:00,LOT-0202,EQ-04,포토,520.8798825865666,1017.4,51.59,119.6,1.0
2024-03-08 01:00,LOT-0043,EQ-02,증착,292.9,1027.4,52.23,121.9,1.0
2024-03-08 04:00,LOT-0120,EQ-03,세정,302.1,1012.3,49.68,110.5,1.0
2024-03-08 11:00,LOT-0383,EQ-01,증착,308.4,995.1,48.34,130.5,1.0
2024-03-08 14:00,LOT-0295,EQ-04,포토,301.2,1003.7,48.92,112.5,1.0
2024-03-09 04:00,LOT-0378,EQ-03,증착,301.6,1015.3,52.39,113.7,1.0
2024-03-09 18:00,LOT-0099,EQ-02,포토,304.9,1000.9,49.54,122.3,1.0
2024-03-10 03:00,LOT-0217,EQ-02,증착,304.9,1017.8,53.81,103.7,1.0
2024-03-10 05:00,LOT-0168,EQ-04,중착,,1006.2,53.36,115.0,1.0
2024-03-11 03:00,LOT-0027,EQ-03,증착,297.2,1013.1,48.88,120.7,-1.0
2024-03-11 06:00,LOT-0174,EQ-01,세정,298.9,1014.4,53.88,117.6,1.0
2024-03-11 14:00,LOT-0327,EQ-01,세정,305.3,1005.1,49.06,118.8,1.0
2024-03-11 19:00,LOT-0180,EQ-02,세정,295.5,,49.99,117.6,1.0
2024-03-12 04:00,LOT-0320,EQ-02,포토공정,298.0,1021.4,50.12,117.8,1.0
2024-03-12 06:00,LOT-0382,EQ-02,산화,299.2,1007.6,48.14,117.2,1.0
2024-03-12 20:00,LOT-0178,EQ-01,식각,300.3,1009.3,50.43,129.1,1.0
2024-03-13 02:00,LOT-0316,EQ-04,포토,301.0,1007.0,51.49,122.3,1.0
2024-03-13 12:00,LOT-0396,EQ-04,산화,298.7,,54.86,113.7,1.0
2024-03-13 13:00,LOT-0097,EQ-03,증착,305.1,1019.8,52.96,117.5,1.0
2024-03-13 15:00,LOT-0004,EQ-02,산화,297.2,1006.5,49.11,123.5,1.0
2024-03-13 16:00,LOT-0238,EQ-03,식각,308.4,-40.37046562157849,50.85,126.0,1.0
2024-03-13 22:00,LOT-0175,EQ-01,세정,301.0,1018.4,52.52,112.2,1.0
2024-03-14 11:00,LOT-0297,EQ-04,포토,302.9,1012.2,49.98,118.5,1.0
2024-03-14 20:00,LOT-0229,EQ-01,포토,295.2,1025.5,48.57,106.8,1.0
2024-03-15 03:00,LOT-0281,EQ-02,식각 ,301.5,1011.2,49.97,115.7,1.0
2024-03-15 12:00,LOT-0392,EQ-03,포토,295.2,1006.3,47.91,127.5,1.0
2024-03-16 03:00,LOT-0024,EQ-04,산화,294.3,1001.6,50.34,122.3,1.0
2024-03-17 05:00,LOT-0232,EQ-02,세정,303.3,1006.2,49.12,117.1,
2024-03-17 06:00,LOT-0397,EQ-03,세정,300.1,997.3,52.54,112.9,1.0
2024-03-17 11:00,LOT-0042,EQ-04,식각,295.5,1013.6,49.68,118.4,1.0
2024-03-17 13:00,LOT-0205,EQ-02,세정,292.0,1025.2,47.65,118.9,1.0
2024-03-17 17:00,LOT-0315,EQ-02,포토,303.0,998.7,51.57,119.9,1.0
2024-03-17 18:00,LOT-0334,EQ-03,세정,300.1,1000.1,49.61,122.3,1.0
2024-03-18 07:00,LOT-0347,EQ-03,산화,303.2,1002.0,48.27,119.3,1.0
2024-03-18 13:00,LOT-0391,EQ-03,산화,303.9,1009.9,50.69,109.4,1.0
2024-03-19 01:00,LOT-0225,EQ-03,세정,304.6,1003.7,48.48,115.0,-1.0
2024-03-19 06:00,LOT-0319,EQ-03,세정,291.0,1018.1,46.59,116.3,1.0
2024-03-19 08:00,LOT-0144,EQ-04,증착,287.0,1019.8,47.65,112.7,1.0
2024-03-19 09:00,LOT-0049,EQ-01,증착,302.6,1006.0,52.23,125.5,1.0
2024-03-19 11:00,LOT-0162,EQ-03,식각,292.4,1009.6,52.95,112.9,1.0
2024-03-20 08:00,LOT-0286,EQ-02,증착,304.4,1005.5,49.09,121.1,1.0
2024-03-20 11:00,LOT-0292,EQ-01,증착,301.6,1016.9,50.68,120.4,1.0
2024-03-21 06:00,LOT-0034,EQ-01,증착,299.9,1026.2,46.42,119.6,1.0
2024-03-22 08:00,LOT-0283,EQ-04,증착,299.6,1003.5,51.64,118.6,1.0
2024-03-22 17:00,LOT-0380,EQ-01,포토,293.5,1007.9,49.6,114.4,1.0
2024-03-22 18:00,LOT-0029,EQ-04,세정,299.5,1002.7,51.06,119.4,1.0
2024-03-22 20:00,LOT-0029,EQ-01,식각,299.1,1015.5,49.3,123.4,1.0
2024-03-23 12:00,LOT-0290,EQ-01,세정,301.4,1015.4,49.81,113.6,1.0
2024-03-23 21:00,LOT-0271,EQ-01,증착,307.8,1005.4,250.0,125.9,1.0
2024-03-24 04:00,LOT-0103,EQ-03,세정,297.7,1009.8,50.71,115.6,1.0
2024-03-24 08:00,LOT-0177,EQ-01,증착,519.8549776015931,1029.9,48.75,123.7,1.0
2024-03-24 15:00,LOT-0399,EQ-01,증착,307.1,1028.7,50.42,117.6,1.0
2024-03-25 07:00,LOT-0264,EQ-01,세정,297.0,1004.8,53.13,127.6,1.0
2024-03-25 09:00,LOT-0038,EQ-02,세정,296.4,1012.1,44.8,127.4,1.0
2024-03-25 15:00,LOT-0215,EQ-04,산화,296.7,1008.9,51.9,127.7,1.0
2024-03-26 00:00,LOT-0255,EQ-02,포토,295.2,1015.6,50.54,130.0,-1.0
2024-03-26 03:00,LOT-0248,EQ-02,포토,293.1,1003.0,50.43,117.8,1.0
2024-03-26 04:00,LOT-0332,EQ-04,산화,302.3,1016.7,51.54,102.8,1.0
2024-03-26 05:00,LOT-0397,EQ-01,포토,305.9,1020.5,48.89,111.1,-1.0
2024-03-26 07:00,LOT-0039,EQ-02,산화,,1022.4,45.96,112.8,1.0
2024-03-26 15:00,LOT-0384,EQ-02,세정,297.6,1000.3,48.49,123.7,1.0
2024-03-26 16:00,LOT-0255,EQ-04,세정,297.4,1027.3,48.95,123.8,1.0
2024-03-26 21:00,LOT-0121,EQ-04,산화,300.9,-28.297835121327783,44.92,113.5,1.0
2024-03-27 06:00,LOT-0315,EQ-04,식각,296.9,1001.0,50.72,122.3,1.0
2024-03-27 18:00,LOT-0029,EQ-04,식각,299.2,1021.8,50.64,116.1,1.0
2024-03-28 05:00,LOT-0269,EQ-03,증착,297.8,1019.8,47.24,115.7,-1.0
2024-03-28 13:00,LOT-0219,EQ-04,식각,303.6,,49.71,119.7,
2024-03-28 16:00,LOT-0365,EQ-03,식각,302.5,1020.0,49.71,111.4,1.0
2024-03-28 17:00,LOT-0289,EQ-04,포토,300.6,1018.3,49.62,122.7,1.0
2024-03-28 19:00,LOT-0081,EQ-01,세정,295.5,1015.4,250.0,121.7,1.0
2024-03-29 03:00,LOT-0397,EQ-04,포토,298.0,1003.9,51.68,127.8,1.0
2024-03-29 10:00,LOT-0281,EQ-01,산화,303.0,1009.8,50.01,123.7,1.0
2024-03-30 04:00,LOT-0015,EQ-01,세정,307.2,1012.6,53.71,121.0,1.0
2024-03-30 07:00,LOT-0308,EQ-02,포토,297.9,1022.3,50.06,125.2,1.0
2024-03-31 20:00,LOT-0309,EQ-01,포토,310.5,1025.3,52.25,118.6,1.0
2024-04-01 03:00,LOT-0081,EQ-02,증착,298.4,1011.5,52.45,120.1,1.0
2024-04-02 02:00,LOT-0037,EQ-01,세정,298.4,1007.8,46.55,113.1,-1.0
