측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,두께_nm,진동_mm_s,처리시간_sec,합격여부
2024-03-01 05:00,LOT-0176,EQ-04,포토,299.1,1002.9,99.64,0.503,126.7,1
2024-03-01 15:00,LOT-0024,EQ-04,식각,300.6,1014.5,98.69,0.489,118.3,1
2024-03-01 16:00,LOT-0226,EQ-03,증착,298.4,1026.9,99.62,0.508,115.8,1
2024-03-01 21:00,LOT-0234,EQ-04,증착,305.9,1012.8,104.76,0.46,123.5,1
2024-03-02 00:00,LOT-0449,EQ-01,증착,299.9,1021.2,99.52,0.541,131.0,1
2024-03-02 04:00,LOT-0135,EQ-03,세정,301.8,1005.1,101.45,0.566,127.3,-1
2024-03-02 18:00,LOT-0489,EQ-03,세정,299.0,1005.7,98.62,0.501,119.4,1
2024-03-02 20:00,LOT-0355,EQ-02,식각,299.4,1011.0,101.59,0.628,124.8,1
2024-03-03 04:00,LOT-0520,EQ-01,산화,304.6,1006.7,105.78,0.487,122.1,1
2024-03-04 17:00,LOT-0145,EQ-01,세정,301.6,1005.3,101.17,0.53,121.4,1
2024-03-04 20:00,LOT-0117,EQ-04,산화,299.0,1016.9,98.63,0.496,124.2,1
2024-03-05 21:00,LOT-0008,EQ-01,포토,301.8,1015.2,102.25,0.485,120.2,-1
2024-03-05 22:00,LOT-0371,EQ-02,포토,297.5,1018.0,98.85,0.636,119.3,1
2024-03-05 23:00,LOT-0421,EQ-01,증착,303.4,1012.2,102.24,0.475,125.6,1
2024-03-06 05:00,LOT-0067,EQ-01,포토,302.0,1009.7,99.86,0.494,120.2,1
2024-03-06 08:00,LOT-0431,EQ-04,세정,302.2,1008.0,100.33,0.518,121.6,1
2024-03-06 12:00,LOT-0170,EQ-02,포토,295.7,1019.7,96.04,0.598,121.6,1
2024-03-07 04:00,LOT-0201,EQ-02,식각,300.9,1010.8,99.49,0.551,118.0,-1
2024-03-08 02:00,LOT-0250,EQ-03,포토,301.4,1020.9,100.61,0.486,126.2,1
2024-03-08 06:00,LOT-0566,EQ-03,포토,304.6,1019.7,101.94,0.518,120.9,-1
2024-03-08 13:00,LOT-0430,EQ-03,식각,301.3,1029.0,103.49,0.46,114.8,1
2024-03-08 21:00,LOT-0514,EQ-01,식각,302.8,1009.0,101.53,0.455,120.4,1
2024-03-09 00:00,LOT-0512,EQ-03,포토,300.1,1023.1,99.47,0.52,111.7,1
2024-03-09 11:00,LOT-0273,EQ-01,증착,300.4,1003.3,100.4,0.483,124.6,1
2024-03-09 12:00,LOT-0018,EQ-02,포토,299.7,1023.0,101.37,0.674,111.4,1
2024-03-10 01:00,LOT-0086,EQ-02,포토,297.6,1018.1,100.3,0.533,120.4,1
2024-03-11 07:00,LOT-0419,EQ-03,식각,299.5,1022.9,98.16,0.536,116.9,1
2024-03-11 13:00,LOT-0187,EQ-04,세정,295.5,997.9,95.9,0.488,122.3,1
2024-03-12 02:00,LOT-0305,EQ-04,포토,298.7,1025.1,97.84,0.572,121.1,1
2024-03-12 07:00,LOT-0542,EQ-04,세정,297.2,1011.0,98.07,0.469,121.3,1
2024-03-12 15:00,LOT-0551,EQ-04,포토,300.3,1010.4,100.21,0.427,127.4,1
2024-03-12 18:00,LOT-0566,EQ-02,식각,300.6,1000.0,102.76,0.609,114.7,-1
2024-03-13 00:00,LOT-0528,EQ-01,세정,304.2,1006.1,104.75,0.483,120.3,1
2024-03-13 03:00,LOT-0215,EQ-02,증착,303.9,1022.1,101.2,0.505,113.1,1
2024-03-13 06:00,LOT-0120,EQ-04,세정,299.6,1025.7,96.22,0.476,126.2,1
2024-03-13 12:00,LOT-0218,EQ-04,식각,300.0,1016.4,97.77,0.536,125.5,1
2024-03-14 02:00,LOT-0018,EQ-02,산화,304.6,1007.0,101.5,0.561,127.6,1
2024-03-14 14:00,LOT-0019,EQ-01,포토,299.9,1017.3,99.79,0.607,125.1,1
2024-03-14 15:00,LOT-0508,EQ-01,증착,302.4,1000.0,102.24,0.489,122.8,1
2024-03-14 16:00,LOT-0421,EQ-03,증착,299.8,1009.9,97.99,0.558,116.5,1
2024-03-14 18:00,LOT-0290,EQ-04,산화,301.9,1006.7,102.37,0.515,114.8,1
2024-03-15 02:00,LOT-0251,EQ-02,세정,301.1,1020.9,101.94,0.658,126.3,1
2024-03-15 03:00,LOT-0332,EQ-04,식각,300.1,999.6,96.47,0.513,122.9,1
2024-03-15 05:00,LOT-0247,EQ-02,산화,300.7,1008.6,98.33,0.689,113.8,1
2024-03-15 08:00,LOT-0464,EQ-01,식각,305.7,1014.9,105.88,0.446,125.4,1
2024-03-15 14:00,LOT-0270,EQ-04,식각,302.8,1016.8,101.14,0.524,117.5,1
2024-03-15 17:00,LOT-0594,EQ-01,세정,300.7,1001.3,100.29,0.435,119.3,1
2024-03-15 18:00,LOT-0270,EQ-01,세정,303.1,1007.5,107.28,0.502,122.6,1
2024-03-16 03:00,LOT-0238,EQ-04,세정,301.0,994.8,100.91,0.534,116.0,1
2024-03-16 12:00,LOT-0423,EQ-04,증착,299.6,1018.6,99.42,0.501,125.9,1
2024-03-17 04:00,LOT-0474,EQ-04,식각,303.8,1008.0,98.85,0.529,125.3,1
2024-03-17 07:00,LOT-0489,EQ-03,세정,299.4,1008.5,99.35,0.553,118.0,1
2024-03-17 14:00,LOT-0010,EQ-04,포토,300.0,1006.8,100.46,0.543,114.7,1
2024-03-17 22:00,LOT-0336,EQ-03,산화,301.3,1023.9,99.45,0.506,122.2,1
2024-03-17 23:00,LOT-0323,EQ-03,세정,303.8,1011.0,104.44,0.503,123.6,1
2024-03-18 11:00,LOT-0211,EQ-02,식각,306.5,1004.4,102.44,0.578,132.7,-1
