로트번호,설비번호,공정명,작업조,온도_섭씨,압력_Pa,진공도_mTorr,처리시간_sec,합격여부
LOT-0722,EQ-04,산화,C조,,1003.7,5.63,117.2,1
LOT-0331,EQ-01,증착,B조,298.1,1010.0,5.28,116.5,1
LOT-0106,EQ-01,식각,C조,,1003.7,4.69,123.8,1
LOT-0656,EQ-02,산화,A조,300.1,1013.7,5.05,117.5,1
LOT-0778,EQ-04,포토,B조,300.5,1007.6,5.05,128.9,-1
LOT-0873,EQ-01,식각,A조,295.5,1015.2,4.92,117.6,1
LOT-0409,EQ-02,세정,B조,291.8,1000.6,4.7,121.8,1
LOT-0378,EQ-01,산화,A조,301.6,1002.6,5.06,116.2,1
LOT-0028,EQ-02,식각,A조,290.1,1009.6,4.94,117.8,1
LOT-0473,EQ-01,증착,C조,300.9,1010.5,5.18,119.1,-1
LOT-0070,EQ-03,식각,A조,293.9,1027.6,5.34,115.6,1
LOT-0059,EQ-01,포토,C조,,1004.4,4.92,116.3,1
LOT-0225,EQ-04,증착,B조,301.8,1015.1,5.06,127.8,1
LOT-0823,EQ-01,식각,A조,295.5,1014.6,4.83,112.9,1
LOT-0873,EQ-02,식각,A조,296.2,1006.9,5.41,116.6,-1
LOT-0462,EQ-01,세정,A조,297.3,1009.1,5.49,115.0,1
LOT-0618,EQ-03,산화,B조,301.6,1022.5,5.06,121.1,1
LOT-0238,EQ-02,세정,A조,287.3,1024.6,5.14,119.4,1
LOT-0589,EQ-03,식각,C조,302.6,1031.2,4.3,121.6,1
LOT-0156,EQ-03,식각,A조,303.8,1021.8,4.72,117.1,1
LOT-0550,EQ-01,증착,C조,298.5,1002.2,5.06,117.6,1
LOT-0565,EQ-02,세정,A조,299.3,1030.9,4.96,119.9,1
LOT-0158,EQ-02,세정,C조,312.0,1005.2,5.1,119.6,1
LOT-0667,EQ-01,증착,A조,303.6,1016.8,4.86,123.3,1
LOT-0502,EQ-01,세정,C조,303.6,1005.5,5.49,110.9,1
LOT-0393,EQ-01,산화,A조,300.1,1002.9,5.01,113.4,1
LOT-0661,EQ-03,산화,A조,300.2,1034.1,4.7,114.1,1
LOT-0652,EQ-02,증착,A조,298.5,1009.6,5.37,123.9,1
LOT-0382,EQ-04,세정,B조,304.6,1008.2,5.09,123.3,1
LOT-0316,EQ-01,포토,C조,297.2,1014.5,5.14,122.1,1
LOT-0646,EQ-02,세정,C조,285.7,1018.9,5.0,125.9,-1
LOT-0074,EQ-04,증착,A조,296.8,1006.8,5.22,118.1,1
LOT-0662,EQ-01,산화,A조,296.5,1019.0,5.43,117.2,1
LOT-0080,EQ-02,증착,B조,309.9,1011.6,4.88,120.4,1
LOT-0690,EQ-04,세정,C조,302.8,1024.7,5.65,118.7,1
LOT-0027,EQ-04,식각,B조,301.6,999.8,5.29,122.4,1
LOT-0008,EQ-04,식각,A조,297.1,1006.4,5.07,118.1,1
LOT-0325,EQ-01,식각,C조,293.2,1006.7,4.54,126.1,1
LOT-0319,EQ-04,세정,B조,298.7,1014.9,4.87,112.7,1
LOT-0692,EQ-02,세정,C조,298.4,1018.5,4.89,123.4,-1
LOT-0871,EQ-03,포토,C조,,1028.3,5.01,122.4,1
LOT-0634,EQ-03,식각,C조,,1026.1,4.93,115.8,1
LOT-0328,EQ-04,포토,A조,301.3,995.4,5.0,121.6,1
LOT-0834,EQ-01,산화,C조,300.0,1007.1,4.84,118.0,1
LOT-0576,EQ-04,식각,C조,304.7,1010.1,5.43,116.3,1
LOT-0200,EQ-01,포토,C조,300.4,1020.9,4.76,124.6,1
LOT-0259,EQ-03,증착,A조,296.1,1028.7,4.9,115.1,1
LOT-0468,EQ-04,포토,B조,296.1,1007.5,4.78,125.8,-1
LOT-0149,EQ-01,증착,A조,299.5,1003.9,4.76,115.4,1
LOT-0394,EQ-02,증착,C조,305.8,1004.9,5.31,122.1,1
LOT-0517,EQ-02,증착,A조,297.8,1010.6,5.0,134.1,1
LOT-0022,EQ-03,증착,C조,299.6,1030.7,5.6,129.7,1
LOT-0243,EQ-02,식각,B조,294.9,1018.6,5.03,122.8,-1
LOT-0652,EQ-04,산화,B조,303.0,1017.2,5.11,125.0,1
LOT-0571,EQ-04,식각,A조,302.8,1011.3,5.27,112.9,1
LOT-0268,EQ-01,산화,B조,300.4,1013.8,4.38,119.4,1
LOT-0716,EQ-04,세정,C조,305.8,1018.5,5.25,124.0,-1
LOT-0168,EQ-02,증착,B조,297.8,1013.5,4.78,125.0,1
LOT-0636,EQ-03,증착,B조,297.2,1030.3,4.79,124.3,1
