로트번호,웨이퍼번호,설비번호,공정명,작업조,온도_섭씨,압력_Pa,진공도_mTorr,처리시간_sec,불량유형,합격여부
LOT-0001,1,EQ-01,포토,A조,304.0,1006.9,4.82,128.5,,1
LOT-0001,2,EQ-01,포토,A조,299.2,996.0,4.5,122.4,,1
LOT-0001,3,EQ-01,포토,A조,296.4,1019.0,5.17,117.4,,1
LOT-0001,4,EQ-01,포토,A조,300.5,1006.0,5.22,119.2,,1
LOT-0002,1,EQ-01,포토,B조,296.3,1010.2,4.68,120.9,,1
LOT-0002,2,EQ-01,포토,B조,296.5,1017.1,5.56,122.1,,1
LOT-0002,3,EQ-01,포토,B조,299.6,1012.3,5.15,122.9,,1
LOT-0002,4,EQ-01,포토,B조,298.8,1015.4,5.91,121.6,,1
LOT-0003,1,EQ-01,식각,C조,300.3,992.2,4.85,116.6,,1
LOT-0003,2,EQ-01,식각,C조,296.5,1003.2,5.77,123.7,,1
LOT-0003,3,EQ-01,식각,C조,296.7,1006.9,5.11,119.0,,1
LOT-0003,4,EQ-01,식각,C조,304.1,1019.8,5.16,111.8,,1
LOT-0004,1,EQ-01,포토,B조,299.5,1012.0,5.29,107.6,,1
LOT-0004,2,EQ-01,포토,B조,298.3,1009.3,4.7,127.7,,1
LOT-0004,3,EQ-01,포토,B조,302.0,1003.8,5.29,120.7,,1
LOT-0004,4,EQ-01,포토,B조,299.4,1005.2,4.73,126.6,,1
LOT-0005,1,EQ-04,식각,A조,304.7,1010.4,4.86,115.2,,1
LOT-0005,2,EQ-04,식각,A조,305.3,1007.6,4.8,117.3,,1
LOT-0005,3,EQ-04,식각,A조,300.3,997.7,4.75,119.2,,1
LOT-0005,4,EQ-04,식각,A조,302.7,1012.2,4.71,121.2,,1
LOT-0006,1,EQ-04,산화,A조,299.2,1005.4,5.29,117.0,패턴 불량,-1
LOT-0006,2,EQ-04,산화,A조,294.4,1011.0,4.89,117.5,,1
LOT-0006,3,EQ-04,산화,A조,295.1,1005.3,4.79,124.1,,1
LOT-0006,4,EQ-04,산화,A조,301.3,1025.8,4.38,124.6,,1
LOT-0007,1,EQ-04,산화,A조,304.9,1014.0,4.86,113.9,,1
LOT-0007,2,EQ-04,산화,A조,307.1,1003.2,4.97,121.6,,1
LOT-0007,3,EQ-04,산화,A조,299.3,1030.7,4.98,118.3,,1
LOT-0007,4,EQ-04,산화,A조,296.5,1018.6,5.02,116.0,,1
LOT-0008,1,EQ-04,증착,B조,305.7,1017.9,5.06,117.3,정렬 불량,-1
LOT-0008,2,EQ-04,증착,B조,302.1,1010.6,5.53,116.5,두께 불량,-1
LOT-0008,3,EQ-04,증착,B조,309.8,1014.0,4.98,109.5,패턴 불량,-1
LOT-0008,4,EQ-04,증착,B조,296.4,1033.7,5.05,119.4,파티클,-1
LOT-0009,1,EQ-03,증착,A조,294.4,1022.3,4.64,121.3,,1
LOT-0009,2,EQ-03,증착,A조,306.0,1020.8,5.38,118.0,,1
LOT-0009,3,EQ-03,증착,A조,299.9,1033.2,4.75,125.4,,1
LOT-0009,4,EQ-03,증착,A조,295.3,1025.1,5.07,114.0,,1
LOT-0010,1,EQ-02,식각,B조,303.2,1003.3,5.15,109.9,,1
LOT-0010,2,EQ-02,식각,B조,297.3,1020.8,4.9,118.7,,1
LOT-0010,3,EQ-02,식각,B조,303.4,999.7,4.87,119.8,,1
LOT-0010,4,EQ-02,식각,B조,298.0,1007.1,4.9,123.0,,1
LOT-0011,1,EQ-01,산화,A조,303.2,1008.5,5.49,119.0,,1
LOT-0011,2,EQ-01,산화,A조,299.6,1008.2,4.93,119.8,,1
LOT-0011,3,EQ-01,산화,A조,303.1,1004.0,4.7,115.2,,1
LOT-0011,4,EQ-01,산화,A조,299.5,1011.4,5.42,120.7,,1
