로트번호,웨이퍼번호,설비번호,공정명,검사수량,양품수량,불량수량,불량유형,수율_pct
LOT-0001,1,EQ-02,포토,20,20,0,,100.0
LOT-0001,2,EQ-02,포토,22,20,2,식각 과다,90.9
LOT-0001,3,EQ-02,포토,24,22,2,패턴 불량,91.7
LOT-0001,4,EQ-02,포토,21,19,2,오염,90.5
LOT-0001,5,EQ-02,포토,20,19,1,두께 불량,95.0
LOT-0001,6,EQ-02,포토,25,23,2,식각 부족,92.0
LOT-0002,1,EQ-02,포토,20,18,2,전기적 특성 불량,90.0
LOT-0002,2,EQ-02,포토,21,20,1,전기적 특성 불량,95.2
LOT-0002,3,EQ-02,포토,22,21,1,파티클,95.5
LOT-0002,4,EQ-02,포토,25,24,1,전기적 특성 불량,96.0
LOT-0002,5,EQ-02,포토,22,20,2,두께 불량,90.9
LOT-0002,6,EQ-02,포토,20,18,2,식각 부족,90.0
LOT-0003,1,EQ-03,포토,20,18,2,패턴 불량,90.0
LOT-0003,2,EQ-03,포토,22,21,1,패턴 불량,95.5
LOT-0003,3,EQ-03,포토,25,23,2,정렬 불량,92.0
LOT-0003,4,EQ-03,포토,21,19,2,파티클,90.5
LOT-0003,5,EQ-03,포토,23,21,2,전기적 특성 불량,91.3
LOT-0003,6,EQ-03,포토,21,20,1,식각 과다,95.2
LOT-0003,7,EQ-03,포토,22,20,2,식각 과다,90.9
LOT-0003,8,EQ-03,포토,21,20,1,패턴 불량,95.2
LOT-0004,1,EQ-03,포토,24,22,2,식각 과다,91.7
LOT-0004,2,EQ-03,포토,24,23,1,파티클,95.8
LOT-0004,3,EQ-03,포토,23,22,1,파티클,95.7
LOT-0004,4,EQ-03,포토,22,21,1,식각 과다,95.5
LOT-0004,5,EQ-03,포토,23,22,1,전기적 특성 불량,95.7
LOT-0004,6,EQ-03,포토,24,22,2,오염,91.7
LOT-0005,1,EQ-02,포토,22,20,2,정렬 불량,90.9
LOT-0005,2,EQ-02,포토,21,21,0,,100.0
LOT-0005,3,EQ-02,포토,20,18,2,오염,90.0
