측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,진공도_mTorr,두께_nm,진동_mm_s,냉각수온도_섭씨,습도_pct,합격여부
2024-03-01 00:00,LOT-0404,EQ-02,식각,303.4,1017.3,4.92,104.66,0.682,19.52,47.4,1
2024-03-01 04:00,LOT-0094,EQ-04,증착,302.1,1016.5,5.12,100.03,0.472,20.9,50.4,1
2024-03-01 07:00,LOT-0408,EQ-02,증착,295.6,1018.4,5.24,98.62,0.636,19.0,45.7,-1
2024-03-01 22:00,LOT-0721,EQ-04,식각,298.4,1010.8,4.55,93.92,0.499,19.26,43.3,1
2024-03-02 08:00,LOT-0455,EQ-02,산화,300.1,1015.9,5.27,101.28,0.728,20.43,43.0,1
2024-03-02 13:00,LOT-0123,EQ-04,세정,293.4,999.7,5.01,94.29,0.505,20.41,52.5,1
2024-03-03 00:00,LOT-0600,EQ-02,세정,301.7,1021.2,5.13,101.0,0.734,19.56,43.2,1
2024-03-03 05:00,LOT-0546,EQ-02,증착,305.4,1008.1,4.7,103.34,0.617,18.54,40.2,1
2024-03-03 06:00,LOT-0110,EQ-01,세정,296.8,1020.3,4.77,101.22,0.478,20.83,50.9,1
2024-03-03 10:00,LOT-0699,EQ-01,산화,304.4,1013.2,5.53,100.79,0.499,19.57,43.4,-1
2024-03-03 11:00,LOT-0554,EQ-01,식각,300.5,1000.5,4.81,100.51,0.468,19.45,46.5,1
2024-03-03 18:00,LOT-0240,EQ-03,포토,299.6,1025.8,5.19,102.28,0.445,19.92,46.9,1
2024-03-03 23:00,LOT-0892,EQ-04,식각,301.1,1018.8,4.62,100.53,0.527,20.59,42.9,-1
2024-03-04 06:00,LOT-0257,EQ-04,포토,300.2,1011.9,4.5,100.15,0.525,18.45,47.1,1
2024-03-04 08:00,LOT-0183,EQ-02,증착,307.1,1000.9,5.48,101.08,0.766,20.25,51.4,1
2024-03-04 17:00,LOT-0022,EQ-04,세정,298.8,991.6,4.89,96.62,0.475,21.93,49.3,1
2024-03-05 01:00,LOT-0817,EQ-03,포토,303.2,1021.8,4.8,102.39,0.462,20.27,47.6,1
2024-03-05 03:00,LOT-0367,EQ-04,증착,301.0,1008.1,5.21,100.95,0.469,21.34,46.6,1
2024-03-05 05:00,LOT-0744,EQ-04,증착,299.6,1016.1,4.79,99.4,0.518,19.94,43.7,1
2024-03-05 16:00,LOT-0896,EQ-02,포토,294.3,1009.8,5.09,93.62,0.634,20.81,45.6,1
2024-03-05 17:00,LOT-0612,EQ-03,세정,302.5,989.1,4.97,99.37,0.515,20.28,45.0,1
2024-03-05 18:00,LOT-0272,EQ-03,식각,300.7,1010.6,5.26,100.16,0.475,18.84,47.5,1
2024-03-05 23:00,LOT-0785,EQ-03,포토,305.0,1012.8,4.69,103.54,0.526,21.37,40.4,-1
2024-03-06 01:00,LOT-0773,EQ-01,산화,301.8,1027.5,4.81,99.64,0.543,21.93,40.0,1
2024-03-06 05:00,LOT-0805,EQ-04,식각,302.3,1002.9,5.28,101.47,0.529,20.27,45.9,1
2024-03-06 07:00,LOT-0281,EQ-03,세정,301.5,1015.6,4.71,101.05,0.57,20.29,41.8,1
2024-03-06 08:00,LOT-0346,EQ-04,포토,290.2,1005.3,4.65,94.74,0.507,19.7,47.0,1
2024-03-06 13:00,LOT-0347,EQ-04,식각,304.9,1008.8,5.22,101.71,0.538,19.26,44.9,1
2024-03-07 00:00,LOT-0302,EQ-01,증착,304.4,1013.5,5.0,102.37,0.55,20.24,49.5,1
2024-03-07 03:00,LOT-0648,EQ-03,세정,302.0,1010.1,4.28,100.34,0.489,20.99,44.8,-1
2024-03-07 05:00,LOT-0614,EQ-03,포토,302.9,1015.9,4.74,100.41,0.468,19.45,42.1,1
2024-03-07 13:00,LOT-0749,EQ-04,포토,308.1,1024.1,5.18,101.72,0.586,20.84,43.5,-1
2024-03-07 16:00,LOT-0765,EQ-04,포토,297.1,1012.0,5.06,99.84,0.545,19.23,48.2,1
2024-03-07 18:00,LOT-0336,EQ-04,세정,303.8,1000.1,5.07,101.03,0.515,19.44,46.8,1
2024-03-07 20:00,LOT-0343,EQ-01,포토,299.9,1001.9,4.88,103.17,0.505,19.86,43.2,1
2024-03-08 01:00,LOT-0741,EQ-02,증착,301.4,1022.2,4.62,100.73,0.714,20.53,45.3,1
2024-03-08 04:00,LOT-0762,EQ-03,식각,300.3,1016.6,5.18,99.78,0.48,19.26,40.5,1
2024-03-08 11:00,LOT-0334,EQ-04,증착,290.8,1003.4,5.0,94.57,0.514,18.55,48.9,1
2024-03-08 12:00,LOT-0629,EQ-04,산화,300.0,1016.2,4.94,98.34,0.414,19.69,39.5,1
2024-03-08 14:00,LOT-0526,EQ-04,세정,302.7,1019.9,5.29,100.05,0.502,19.56,43.8,-1
2024-03-08 15:00,LOT-0006,EQ-02,식각,300.7,1029.9,5.07,98.98,0.728,20.63,41.4,-1
2024-03-08 17:00,LOT-0631,EQ-04,산화,302.4,1021.2,5.36,100.99,0.441,18.72,41.6,1
2024-03-08 22:00,LOT-0826,EQ-02,식각,296.9,1013.0,4.97,99.67,0.654,21.23,42.2,1
2024-03-09 06:00,LOT-0052,EQ-01,세정,298.1,1000.6,5.04,95.99,0.535,21.04,45.9,1
2024-03-09 12:00,LOT-0758,EQ-02,식각,297.4,1009.7,4.52,100.75,0.763,20.81,44.8,-1
2024-03-09 15:00,LOT-0852,EQ-02,포토,295.9,1014.1,4.86,99.14,0.658,20.96,46.8,1
2024-03-09 19:00,LOT-0235,EQ-03,산화,306.6,1005.0,5.51,105.28,0.543,18.47,39.1,1
2024-03-09 21:00,LOT-0156,EQ-03,산화,301.1,1010.9,4.99,98.42,0.533,19.28,39.1,1
2024-03-10 00:00,LOT-0272,EQ-02,포토,299.4,1015.1,5.36,100.12,0.66,19.31,44.0,-1
2024-03-10 01:00,LOT-0405,EQ-02,산화,304.1,1012.5,5.47,104.8,0.746,20.62,40.5,1
2024-03-10 05:00,LOT-0792,EQ-01,식각,295.3,1017.6,4.66,97.96,0.489,21.3,46.5,1
2024-03-10 07:00,LOT-0040,EQ-01,식각,292.1,1011.9,4.59,94.52,0.565,22.15,45.2,-1
2024-03-10 15:00,LOT-0222,EQ-02,산화,302.2,1009.4,5.57,100.2,0.637,19.9,46.9,-1
2024-03-10 17:00,LOT-0028,EQ-04,세정,294.8,1030.0,4.92,97.21,0.475,21.39,38.0,1
2024-03-11 02:00,LOT-0476,EQ-02,산화,300.5,1000.9,4.32,97.01,0.811,20.67,44.6,1
2024-03-11 13:00,LOT-0412,EQ-04,포토,298.6,1016.5,5.01,99.99,0.519,20.32,43.7,-1
2024-03-11 18:00,LOT-0793,EQ-02,식각,296.0,1009.3,4.83,98.62,0.594,20.46,46.3,1
2024-03-11 22:00,LOT-0035,EQ-03,증착,297.9,991.3,5.16,100.44,0.54,21.61,42.8,1
2024-03-12 02:00,LOT-0087,EQ-02,식각,299.7,1007.0,5.01,101.83,0.68,21.03,42.6,1
2024-03-12 13:00,LOT-0581,EQ-04,증착,300.6,1010.3,4.16,96.5,0.525,18.46,50.8,1
2024-03-12 14:00,LOT-0601,EQ-01,증착,299.3,1013.0,5.15,98.37,0.51,21.03,39.8,1
2024-03-12 17:00,LOT-0261,EQ-04,산화,298.3,1011.5,5.14,99.46,0.56,20.04,47.9,1
2024-03-13 00:00,LOT-0333,EQ-04,포토,294.9,1007.0,5.02,95.23,0.554,19.92,45.3,1
2024-03-13 22:00,LOT-0285,EQ-03,식각,295.2,1023.9,5.39,96.58,0.594,16.56,48.1,1
2024-03-14 03:00,LOT-0071,EQ-03,식각,296.5,1006.2,4.42,101.42,0.493,20.72,43.6,-1
2024-03-14 06:00,LOT-0222,EQ-03,세정,297.2,1010.5,4.88,99.59,0.441,21.0,44.2,1
2024-03-14 11:00,LOT-0711,EQ-02,세정,302.4,1012.9,5.22,102.42,0.738,20.06,46.0,1
2024-03-14 16:00,LOT-0845,EQ-03,증착,300.1,1017.7,4.86,98.3,0.43,18.84,39.8,1
2024-03-14 21:00,LOT-0119,EQ-02,산화,296.5,1007.6,4.78,100.96,0.611,21.66,47.0,1
2024-03-15 06:00,LOT-0102,EQ-04,식각,306.3,1004.0,5.08,103.14,0.534,20.73,47.7,1
2024-03-15 18:00,LOT-0311,EQ-02,산화,293.2,1012.3,5.34,97.53,0.696,20.97,44.2,1
2024-03-16 06:00,LOT-0334,EQ-03,증착,309.6,1003.1,4.94,102.67,0.467,19.41,48.3,1
2024-03-16 08:00,LOT-0898,EQ-04,포토,299.3,1006.5,4.97,94.13,0.443,18.69,46.7,1
2024-03-16 11:00,LOT-0085,EQ-02,증착,297.8,1011.7,5.01,98.24,0.719,20.26,41.1,-1
2024-03-16 23:00,LOT-0814,EQ-01,산화,298.0,1010.1,4.41,99.06,0.521,20.11,46.3,1
2024-03-17 00:00,LOT-0801,EQ-03,포토,292.4,997.2,5.69,96.1,0.562,20.16,39.3,-1
2024-03-17 01:00,LOT-0728,EQ-02,포토,304.1,1010.3,4.46,106.01,0.711,22.06,42.3,-1
2024-03-17 14:00,LOT-0667,EQ-02,세정,298.7,1009.3,4.54,97.07,0.64,20.21,45.4,1
2024-03-18 04:00,LOT-0048,EQ-03,세정,301.4,1008.7,5.04,99.61,0.46,20.19,50.0,1
2024-03-18 05:00,LOT-0169,EQ-02,세정,305.6,1018.6,4.86,104.51,0.701,20.49,48.1,1
2024-03-18 08:00,LOT-0591,EQ-04,산화,301.8,1006.4,4.41,101.5,0.503,20.56,48.2,1
2024-03-18 09:00,LOT-0436,EQ-04,증착,303.2,1025.6,4.85,102.42,0.528,20.87,45.9,1
2024-03-18 13:00,LOT-0841,EQ-04,증착,300.8,1014.8,5.02,99.32,0.498,19.28,41.3,1
2024-03-18 14:00,LOT-0125,EQ-01,산화,293.4,1010.7,5.58,96.23,0.458,19.67,45.2,1
2024-03-19 03:00,LOT-0643,EQ-01,포토,306.8,1028.1,4.25,105.64,0.476,19.73,49.3,-1
2024-03-19 04:00,LOT-0464,EQ-03,증착,297.6,997.3,5.33,99.17,0.464,19.16,50.1,1
2024-03-19 09:00,LOT-0388,EQ-03,세정,289.0,1006.5,5.32,97.19,0.544,18.93,42.0,1
2024-03-19 10:00,LOT-0576,EQ-04,포토,298.0,1024.7,4.86,95.85,0.547,18.47,41.6,1
2024-03-19 12:00,LOT-0522,EQ-04,산화,293.4,1016.9,4.82,95.12,0.539,20.04,44.1,1
2024-03-19 13:00,LOT-0830,EQ-03,포토,303.0,1023.2,4.94,104.19,0.528,20.3,51.2,1
2024-03-20 09:00,LOT-0633,EQ-04,식각,295.2,1001.6,5.02,98.21,0.536,20.53,46.0,1
2024-03-20 16:00,LOT-0661,EQ-02,산화,305.1,999.7,4.88,100.42,0.738,19.37,42.3,1
2024-03-20 20:00,LOT-0664,EQ-02,증착,296.8,1022.8,5.36,97.56,0.67,19.76,46.5,1
2024-03-21 02:00,LOT-0241,EQ-04,산화,302.2,1009.0,4.33,97.92,0.537,19.26,46.4,1
2024-03-21 03:00,LOT-0105,EQ-01,포토,299.9,1009.2,4.58,98.88,0.526,22.34,44.1,1
2024-03-21 04:00,LOT-0810,EQ-03,식각,299.1,1001.4,4.62,101.5,0.525,21.1,47.6,1
2024-03-21 13:00,LOT-0492,EQ-01,식각,297.8,1001.9,5.14,100.27,0.436,18.16,47.4,1
2024-03-21 16:00,LOT-0111,EQ-03,증착,302.3,1006.4,4.44,98.73,0.472,20.43,42.8,1
2024-03-21 18:00,LOT-0072,EQ-02,증착,298.8,1002.3,5.08,101.15,0.649,19.81,41.6,1
2024-03-21 23:00,LOT-0253,EQ-01,포토,298.0,1013.1,4.31,99.32,0.524,20.29,44.0,1
2024-03-22 04:00,LOT-0582,EQ-04,포토,307.4,1014.3,5.97,104.36,0.517,19.71,47.1,-1
2024-03-22 08:00,LOT-0719,EQ-02,증착,305.9,1019.8,5.18,98.91,0.709,21.3,44.8,1
2024-03-22 09:00,LOT-0899,EQ-02,세정,307.3,1009.1,5.23,102.06,0.633,21.27,46.2,1
2024-03-22 11:00,LOT-0677,EQ-02,산화,301.1,1016.7,4.87,98.62,0.59,19.07,43.3,1
2024-03-22 20:00,LOT-0661,EQ-01,산화,299.3,1014.4,5.05,101.24,0.474,22.37,46.4,1
2024-03-22 21:00,LOT-0749,EQ-03,세정,295.3,1011.0,5.43,98.18,0.537,20.49,40.7,1
2024-03-23 00:00,LOT-0378,EQ-01,식각,296.4,1009.8,4.98,95.65,0.535,21.7,47.1,1
2024-03-23 03:00,LOT-0259,EQ-02,세정,297.7,1017.0,4.88,97.95,0.656,19.11,47.9,-1
2024-03-23 05:00,LOT-0852,EQ-04,산화,295.8,1004.8,5.39,97.53,0.542,20.72,44.8,1
2024-03-23 07:00,LOT-0811,EQ-02,포토,301.2,1011.0,4.71,100.37,0.696,20.52,44.2,1
2024-03-23 08:00,LOT-0819,EQ-01,세정,300.4,1001.7,4.58,101.1,0.516,20.1,42.5,1
2024-03-23 14:00,LOT-0857,EQ-01,포토,300.1,1001.8,5.15,100.73,0.566,19.53,42.9,1
2024-03-23 16:00,LOT-0401,EQ-01,증착,300.7,1005.2,4.89,103.33,0.501,18.65,39.9,1
2024-03-23 21:00,LOT-0433,EQ-01,증착,294.6,1011.2,5.24,95.36,0.515,19.27,43.0,1
2024-03-23 22:00,LOT-0479,EQ-03,증착,299.6,1010.4,5.34,100.72,0.529,20.39,47.8,1
2024-03-23 23:00,LOT-0059,EQ-01,세정,299.6,1020.2,4.91,101.07,0.541,20.2,44.4,1
2024-03-24 07:00,LOT-0243,EQ-04,세정,299.7,1015.0,4.75,103.7,0.471,21.85,41.5,-1
2024-03-24 14:00,LOT-0673,EQ-02,세정,295.0,1006.1,4.62,94.59,0.64,21.17,45.9,1
2024-03-24 15:00,LOT-0836,EQ-03,포토,297.0,1015.0,4.95,97.63,0.46,18.48,46.3,-1
2024-03-24 16:00,LOT-0250,EQ-03,산화,299.3,1010.7,5.87,98.19,0.504,20.57,48.9,1
2024-03-24 22:00,LOT-0826,EQ-04,세정,300.4,1005.2,4.62,101.17,0.488,19.24,45.8,-1
2024-03-24 23:00,LOT-0845,EQ-03,산화,295.1,1015.1,5.34,98.49,0.492,20.83,45.2,1
2024-03-25 01:00,LOT-0821,EQ-01,증착,304.9,1014.1,5.18,102.43,0.51,19.82,44.9,1
2024-03-25 06:00,LOT-0682,EQ-04,세정,305.0,1005.1,5.3,101.21,0.507,21.1,42.9,1
2024-03-25 08:00,LOT-0484,EQ-03,식각,302.3,1026.8,4.87,105.71,0.477,19.89,47.0,1
2024-03-25 09:00,LOT-0454,EQ-02,산화,305.6,1008.7,5.13,100.18,0.685,20.66,45.0,1
2024-03-25 12:00,LOT-0263,EQ-03,포토,297.5,1010.1,4.9,100.6,0.581,17.76,46.0,1
2024-03-26 00:00,LOT-0084,EQ-01,산화,299.9,1011.7,5.25,97.58,0.489,19.17,42.8,1
2024-03-26 02:00,LOT-0523,EQ-02,증착,302.3,1013.3,5.12,98.03,0.696,19.56,46.5,1
2024-03-26 03:00,LOT-0067,EQ-02,식각,300.3,1021.1,4.4,101.85,0.684,21.12,41.5,-1
2024-03-26 05:00,LOT-0831,EQ-01,세정,301.4,1029.9,5.07,104.34,0.549,21.13,48.7,1
2024-03-26 10:00,LOT-0452,EQ-04,포토,296.8,1002.6,4.93,98.35,0.527,19.6,47.4,1
2024-03-26 12:00,LOT-0752,EQ-03,식각,302.8,1009.1,5.41,103.58,0.477,19.9,43.3,1
2024-03-26 13:00,LOT-0699,EQ-04,포토,302.7,1007.0,4.59,102.16,0.552,19.07,41.7,1
2024-03-26 14:00,LOT-0476,EQ-03,포토,298.8,1006.3,4.73,98.47,0.487,21.32,42.9,-1
2024-03-26 16:00,LOT-0877,EQ-04,산화,290.7,1002.9,5.11,92.79,0.418,19.89,47.9,1
2024-03-26 19:00,LOT-0777,EQ-01,포토,301.2,1007.2,5.51,101.74,0.592,20.16,45.7,1
2024-03-26 22:00,LOT-0555,EQ-01,세정,299.7,1026.8,5.32,99.54,0.444,19.32,43.6,1
2024-03-27 00:00,LOT-0855,EQ-04,세정,304.9,1012.5,5.02,101.73,0.597,21.12,48.1,1
2024-03-27 06:00,LOT-0490,EQ-04,산화,302.8,1012.0,4.72,100.97,0.532,21.49,42.5,-1
2024-03-27 11:00,LOT-0510,EQ-02,증착,299.6,1006.3,5.28,99.82,0.562,19.38,47.6,1
2024-03-27 13:00,LOT-0053,EQ-04,식각,303.1,1010.7,5.3,101.97,0.505,19.18,42.4,1
2024-03-27 14:00,LOT-0499,EQ-03,세정,296.0,1014.1,4.97,98.08,0.453,20.82,45.9,1
2024-03-28 02:00,LOT-0079,EQ-04,증착,301.2,1010.3,5.13,101.05,0.459,19.87,41.8,-1
2024-03-28 04:00,LOT-0311,EQ-02,산화,301.7,999.5,4.92,103.75,0.715,20.71,48.3,1
2024-03-28 07:00,LOT-0548,EQ-04,포토,295.5,1014.9,4.71,96.89,0.493,19.99,42.4,1
2024-03-28 17:00,LOT-0711,EQ-01,세정,302.5,1015.0,5.09,102.56,0.498,19.4,43.7,1
2024-03-28 22:00,LOT-0451,EQ-04,증착,301.0,1029.1,5.19,98.84,0.58,20.2,45.6,1
2024-03-29 02:00,LOT-0581,EQ-02,포토,305.2,1023.2,4.64,104.32,0.683,19.72,50.4,1
