SensorTime,Chamber_Temperature_edu,Chamber_Pressure_edu,Gas_Flow_edu,RF_Power_edu,Vacuum_Level_edu,Cooling_Water_Temperature_edu,Vibration_edu,Process_Time_edu,주요센서_A,주요센서_B,검사결과
2008-07-19 11:55:00,-1.73,-0.0,64.67,0.02,33.16,10.05,18.77,2.71,-5419.0,64.23,0
2008-07-19 12:32:00,0.81,-0.0,141.44,0.01,2.27,8.63,10.44,5.71,-5441.5,68.42,0
2008-07-19 13:17:00,23.82,-0.0,240.78,0.01,29.17,14.25,10.32,5.76,-5447.75,67.13,1
2008-07-19 14:43:00,24.38,-0.01,113.56,0.04,13.41,5.18,15.71,5.39,-5468.25,62.93,0
2008-07-19 15:22:00,-12.29,-0.0,148.07,0.02,10.74,11.41,12.76,2.01,-5476.25,62.83,0
2008-07-19 17:53:00,28.3,-0.01,68.74,0.02,30.81,7.28,34.48,2.03,-6058.0,62.38,0
2008-07-19 19:44:00,2.11,-0.0,159.52,0.02,23.89,8.61,34.4,2.26,-6154.0,60.8,0
2008-07-19 19:45:00,29.13,-0.01,79.12,0.02,13.56,12.12,4.32,7.14,-5395.5,67.3,0
2008-07-19 20:24:00,26.98,-0.0,138.58,0.01,140.81,133.53,137.76,133.48,-4196.5,62.8,0
2008-07-19 21:35:00,28.31,-0.01,86.01,0.03,30.7,8.44,16.09,2.92,-5357.5,67.03,0
2008-07-19 21:57:00,27.84,-0.01,87.11,0.02,210.14,202.42,207.33,201.07,-2727.5,68.71,1
2008-07-19 22:52:00,25.08,-0.01,67.94,0.04,21.26,7.98,38.57,2.66,-6097.75,64.77,1
2008-07-20 03:35:00,22.62,-0.01,94.82,0.02,11.65,6.29,17.59,3.53,-5521.25,63.38,0
2008-07-21 08:21:00,-1.19,-0.0,55.03,0.05,22.67,8.69,39.75,2.86,-6069.75,67.99,0
2008-07-21 11:53:00,17.64,-0.0,125.54,0.04,400.0,400.0,400.0,400.0,-1431.5,62.5,1
2008-07-22 00:03:00,20.42,-0.0,263.45,0.04,239.12,209.57,215.34,202.76,-2694.75,61.23,0
2008-07-22 02:59:00,-8.12,-0.01,68.53,0.01,7.44,9.81,10.44,2.14,-5757.25,63.36,0
2008-07-22 08:41:00,-5.53,-0.01,89.73,0.02,10.12,3.43,29.45,1.57,-5612.5,60.24,0
2008-07-22 11:47:00,0.48,-0.01,102.91,0.02,23.37,8.18,18.58,3.33,-5575.25,66.2,0
2008-07-22 14:00:00,22.47,-0.0,349.21,0.04,14.15,12.52,16.57,3.52,-5469.25,65.08,0
2008-07-22 15:30:00,3.97,-0.01,87.8,0.03,13.31,6.14,4.17,4.16,-5441.0,67.2,0
2008-07-23 05:15:00,0.12,-0.01,64.39,0.02,16.39,9.92,18.42,0.55,-5434.0,65.17,0
2008-07-23 19:22:00,-3.66,-0.01,42.91,0.03,14.17,6.63,12.58,4.62,-5310.25,66.36,0
2008-07-25 15:23:00,18.39,-0.01,60.12,0.04,234.95,206.78,212.63,202.13,-2664.25,62.5,1
2008-07-27 04:18:00,15.35,-0.01,60.33,0.05,209.19,200.9,200.09,200.39,-2681.75,64.68,0
2008-07-27 09:37:00,3.0,-0.01,65.85,0.01,228.32,210.41,218.51,202.81,-2706.0,67.03,0
2008-07-27 11:10:00,-6.92,-0.01,48.1,0.01,23.65,11.4,9.66,5.71,-5611.75,68.03,0
2008-07-27 15:46:00,17.39,-0.01,69.68,0.05,15.37,6.7,8.47,5.6,-5369.0,62.89,0
2008-07-27 16:06:00,13.11,-0.01,60.66,0.05,26.93,9.44,13.88,3.44,-5217.5,66.17,0
2008-07-27 16:49:00,14.71,-0.01,51.84,0.05,23.3,12.4,4.65,4.24,-5416.0,65.63,0
2008-07-27 20:24:00,29.51,-0.01,49.17,0.06,14.82,6.89,9.73,4.58,-5500.5,68.64,0
2008-07-27 22:28:00,13.15,-0.01,59.46,0.05,10.29,12.5,5.64,4.0,-5497.75,65.37,0
2008-07-27 22:28:00,-3.39,-0.01,67.62,0.03,15.02,2.81,12.18,6.28,-5507.75,62.67,0
2008-07-27 23:14:00,4.4,-0.01,37.98,0.03,226.52,205.83,212.58,201.85,-2622.5,65.46,0
2008-07-28 03:31:00,17.55,-0.01,78.71,0.04,19.96,6.64,34.24,2.02,-6010.25,66.89,0
2008-07-28 03:48:00,-10.12,-0.01,95.0,0.03,4.47,6.14,9.57,5.03,-5548.0,66.48,0
2008-07-28 04:37:00,13.98,-0.01,75.51,0.05,400.0,400.0,400.0,400.0,-1362.0,65.27,0
2008-07-28 05:36:00,13.49,-0.01,57.22,0.04,9.48,5.22,11.32,4.51,-5452.75,65.22,0
2008-07-28 06:45:00,24.9,-0.0,172.08,0.04,10.15,7.1,1.33,6.16,-5493.75,68.32,1
2008-07-28 08:36:00,23.47,-0.01,40.75,0.03,18.03,11.7,3.04,6.57,-5525.5,70.51,0
2008-07-28 15:11:00,15.15,-0.01,75.29,0.04,119.36,13.79,36.34,1.96,-5085.25,63.51,1
2008-07-28 23:57:00,-2.66,-0.01,21.97,0.01,6.45,8.02,1.28,5.74,-5626.25,64.18,0
2008-07-29 04:08:00,-2.46,-0.01,70.52,0.02,8.1,4.57,47.52,3.45,-6033.25,62.29,0
2008-07-29 05:16:00,19.31,-0.01,42.11,0.05,6.34,8.91,13.35,4.78,-5415.75,69.0,0
2008-07-29 06:19:00,8.3,-0.01,76.89,0.02,154.01,137.64,159.99,135.41,-4731.0,60.84,0
2008-07-29 08:23:00,5.03,-0.01,113.0,0.01,7.22,5.2,5.39,2.15,-5546.5,69.07,1
2008-07-29 11:47:00,12.09,-0.01,41.06,0.02,215.99,204.89,231.64,201.35,-3281.0,63.13,0
2008-07-29 15:41:00,23.14,-0.01,42.7,0.03,150.83,141.77,163.97,135.06,-4667.25,61.87,0
2008-07-29 15:49:00,25.04,-0.01,96.97,0.02,20.79,16.14,2.06,4.87,-5300.25,69.07,1
2008-07-29 17:05:00,23.31,-0.01,18.01,0.02,6.46,7.97,13.69,6.31,-5553.0,69.56,1
2008-07-29 18:08:00,23.96,-0.01,49.07,0.01,14.04,11.43,2.91,5.54,-5394.0,68.36,1
2008-07-29 21:07:00,21.39,-0.01,90.48,0.03,213.27,203.77,209.32,201.23,-2575.5,64.42,0
2008-07-29 23:14:00,1.59,-0.01,67.89,0.02,7.99,12.68,15.17,1.1,-5175.5,67.27,0
2008-07-29 23:19:00,0.68,-0.01,50.08,0.02,10.06,9.42,8.01,2.88,-5545.0,64.08,0
2008-07-30 06:30:00,20.05,-0.01,200.71,0.02,143.91,138.96,169.37,134.42,-4520.75,62.37,0
2008-07-30 07:08:00,21.9,-0.01,33.19,0.02,22.78,7.88,9.5,3.42,-5683.75,64.71,0
2008-07-30 12:02:00,22.88,-0.0,111.95,0.04,6.5,5.76,12.49,3.3,-5460.5,70.09,0
2008-07-30 12:29:00,2.52,-0.01,101.13,0.02,400.0,400.0,400.0,400.0,-1368.75,63.4,1
2008-07-30 21:16:00,15.95,-0.01,31.6,0.04,140.2,136.33,171.67,134.03,-4490.5,63.6,1
2008-07-31 13:57:00,-1.65,-0.01,80.0,0.04,13.09,10.89,15.04,6.04,-5433.25,66.72,0
2008-07-31 15:36:00,6.74,-0.0,102.63,0.04,14.9,7.83,10.39,2.22,-5493.75,68.02,0
2008-07-31 17:07:00,13.81,-0.0,218.18,0.05,215.97,205.02,210.9,201.8,-2597.0,63.98,0
2008-07-31 20:18:00,18.32,-0.01,66.52,0.05,9.97,6.32,12.02,4.82,-5507.5,68.0,1
2008-01-08 02:02:00,16.46,-0.01,87.72,0.04,21.48,7.09,21.4,4.57,-5667.5,63.58,0
2008-01-08 05:52:00,9.05,-0.01,74.78,0.02,28.46,10.54,10.89,5.28,-5501.75,68.12,1
2008-01-08 10:20:00,18.83,-0.01,54.58,0.02,17.48,7.62,18.28,4.53,-5382.5,67.84,0
2008-01-08 10:26:00,18.28,-0.01,89.93,0.01,17.63,11.46,2.62,4.93,-5659.25,65.17,0
2008-01-08 11:28:00,19.8,-0.01,53.69,0.01,15.48,8.42,9.14,2.49,-5349.0,61.62,0
2008-01-08 12:29:00,11.68,-0.01,68.82,0.06,12.27,6.14,9.79,5.62,-5597.0,65.63,0
2008-01-08 14:07:00,22.43,-0.01,102.33,0.04,5.42,8.29,15.31,3.34,-5440.5,68.34,0
2008-01-08 15:10:00,17.16,-0.01,54.58,0.01,23.67,13.79,10.58,2.53,-5614.25,68.3,0
2008-02-08 03:39:00,25.46,-0.0,111.48,0.04,8.29,10.83,5.57,5.75,-5534.5,70.77,0
2008-03-08 13:09:00,20.55,-0.0,174.9,0.02,224.94,207.03,214.55,202.08,-2649.25,63.34,0
2008-03-08 14:06:00,18.68,-0.01,51.45,0.05,16.12,6.62,4.83,8.21,-5554.25,65.47,0
