SensorTime,Sensor59,Sensor103,Sensor510,Sensor348,Sensor431,Sensor434,Sensor430,Sensor435,Sensor21,Sensor28,Sensor436,Sensor129,Sensor210,Sensor298,Sensor163,Pass_Fail
2008-07-19 11:55:00,-1.726,-0.004,64.671,0.022,33.156,10.05,18.767,2.707,-5419.0,64.233,3.116,-0.047,0.077,0.037,0.09,-1
2008-07-19 12:32:00,0.807,-0.004,141.436,0.014,2.266,8.634,10.438,5.709,-5441.5,68.422,1.678,-0.095,0.057,0.05,0.112,-1
2008-07-19 13:17:00,23.824,-0.003,240.777,0.01,29.166,14.25,10.316,5.765,-5447.75,67.133,0.897,-0.189,0.034,0.08,0.187,1
2008-07-19 14:43:00,24.379,-0.006,113.559,0.041,13.405,5.176,15.709,5.39,-5468.25,62.933,1.367,0.284,0.125,0.028,0.068,-1
2008-07-19 15:22:00,-12.294,-0.004,148.066,0.025,10.739,11.406,12.764,2.009,-5476.25,62.833,1.553,-0.568,0.092,0.076,0.147,-1
2008-07-19 17:53:00,28.296,-0.005,68.735,0.017,30.808,7.279,34.483,2.025,-6058.0,62.378,1.475,-0.095,0.064,0.028,0.065,-1
2008-07-19 19:44:00,2.111,-0.004,159.524,0.018,23.888,8.607,34.4,2.258,-6154.0,60.8,4.26,-0.473,0.06,0.034,0.078,-1
2008-07-19 19:45:00,29.131,-0.006,79.121,0.022,13.559,12.124,4.318,7.138,-5395.5,67.3,1.489,0.71,0.07,0.066,0.161,-1
2008-07-19 20:24:00,26.979,-0.005,138.583,0.01,140.811,133.529,137.758,133.484,-4196.5,62.8,134.024,0.71,0.042,0.455,0.912,-1
2008-07-19 21:35:00,28.312,-0.007,86.007,0.032,30.705,8.442,16.09,2.925,-5357.5,67.033,0.71,0.71,0.092,0.034,0.076,-1
2008-07-19 21:57:00,27.837,-0.006,87.111,0.017,210.143,202.418,207.333,201.074,-2727.5,68.711,200.849,-0.568,0.064,0.526,0.921,1
2008-07-19 22:52:00,25.084,-0.006,67.941,0.037,21.261,7.978,38.572,2.656,-6097.75,64.767,3.394,-0.568,0.137,0.03,0.072,1
2008-07-20 03:35:00,22.623,-0.008,94.825,0.016,11.648,6.286,17.587,3.531,-5521.25,63.378,0.743,-0.473,0.061,0.037,0.082,-1
2008-07-21 08:21:00,-1.193,-0.005,55.026,0.047,22.671,8.686,39.754,2.862,-6069.75,67.989,2.279,0.0,0.159,0.032,0.078,-1
2008-07-21 11:53:00,17.638,-0.004,125.538,0.043,400.0,400.0,400.0,400.0,-1431.5,62.5,400.0,0.0,0.136,0.466,0.931,1
2008-07-22 00:03:00,20.421,-0.003,263.454,0.045,239.119,209.566,215.345,202.758,-2694.75,61.233,203.956,-0.047,0.157,0.52,0.942,-1
2008-07-22 02:59:00,-8.118,-0.007,68.532,0.011,7.437,9.808,10.439,2.144,-5757.25,63.356,3.879,-0.047,0.044,0.058,0.125,-1
2008-07-22 08:41:00,-5.533,-0.007,89.734,0.022,10.124,3.429,29.452,1.57,-5612.5,60.244,2.284,-0.047,0.054,0.015,0.032,-1
2008-07-22 11:47:00,0.484,-0.005,102.913,0.018,23.371,8.177,18.582,3.333,-5575.25,66.2,0.878,-0.426,0.062,0.047,0.109,-1
2008-07-22 14:00:00,22.474,-0.002,349.206,0.043,14.15,12.519,16.565,3.522,-5469.25,65.078,3.486,-0.426,0.156,0.076,0.165,-1
2008-07-22 15:30:00,3.97,-0.005,87.805,0.027,13.31,6.135,4.172,4.162,-5441.0,67.2,3.052,-0.426,0.096,0.034,0.08,-1
2008-07-23 05:15:00,0.12,-0.009,64.393,0.024,16.39,9.924,18.421,0.547,-5434.0,65.167,2.682,-0.426,0.095,0.06,0.13,-1
2008-07-23 19:22:00,-3.656,-0.007,42.907,0.032,14.167,6.63,12.579,4.616,-5310.25,66.356,2.427,0.047,0.108,0.039,0.087,-1
2008-07-25 15:23:00,18.394,-0.011,60.116,0.039,234.955,206.78,212.63,202.131,-2664.25,62.5,205.088,-0.473,0.131,0.511,0.915,1
2008-07-27 04:18:00,15.354,-0.008,60.328,0.05,209.19,200.903,200.093,200.395,-2681.75,64.678,202.158,0.095,0.188,0.511,0.89,-1
2008-07-27 09:37:00,2.996,-0.007,65.849,0.012,228.324,210.41,218.514,202.811,-2706.0,67.033,205.1,-0.615,0.04,0.523,0.95,-1
2008-07-27 11:10:00,-6.916,-0.006,48.096,0.013,23.646,11.404,9.658,5.711,-5611.75,68.033,2.795,-0.615,0.049,0.063,0.148,-1
2008-07-27 15:46:00,17.387,-0.008,69.677,0.046,15.373,6.705,8.475,5.595,-5369.0,62.889,3.062,-0.047,0.163,0.038,0.088,-1
2008-07-27 16:06:00,13.114,-0.009,60.658,0.054,26.93,9.436,13.876,3.441,-5217.5,66.167,2.797,-0.615,0.178,0.035,0.084,-1
2008-07-27 16:49:00,14.707,-0.011,51.844,0.049,23.3,12.398,4.653,4.239,-5416.0,65.633,2.544,-0.047,0.17,0.074,0.16,-1
2008-07-27 20:24:00,29.511,-0.01,49.168,0.056,14.82,6.888,9.726,4.576,-5500.5,68.644,1.669,-0.047,0.182,0.038,0.089,-1
2008-07-27 22:28:00,13.148,-0.009,59.46,0.046,10.293,12.502,5.639,3.995,-5497.75,65.367,2.762,-0.615,0.169,0.066,0.159,-1
2008-07-27 22:28:00,-3.386,-0.009,67.622,0.031,15.016,2.812,12.183,6.28,-5507.75,62.667,2.113,0.095,0.104,0.015,0.036,-1
2008-07-27 23:14:00,4.404,-0.008,37.982,0.027,226.516,205.83,212.583,201.851,-2622.5,65.456,202.318,0.095,0.085,0.515,0.918,-1
2008-07-28 03:31:00,17.547,-0.009,78.706,0.043,19.959,6.637,34.242,2.025,-6010.25,66.889,3.114,-0.047,0.141,0.025,0.06,-1
2008-07-28 03:48:00,-10.124,-0.006,95.0,0.034,4.475,6.139,9.571,5.027,-5548.0,66.478,1.69,0.095,0.103,0.041,0.081,-1
2008-07-28 04:37:00,13.978,-0.009,75.513,0.047,400.0,400.0,400.0,400.0,-1362.0,65.267,400.0,-0.047,0.152,0.448,0.896,-1
2008-07-28 05:36:00,13.489,-0.009,57.225,0.044,9.478,5.218,11.315,4.512,-5452.75,65.222,0.881,-0.047,0.162,0.031,0.067,-1
2008-07-28 06:45:00,24.903,-0.003,172.076,0.043,10.155,7.1,1.329,6.158,-5493.75,68.322,3.076,-0.047,0.142,0.043,0.095,1
2008-07-28 08:36:00,23.474,-0.009,40.751,0.031,18.031,11.701,3.04,6.57,-5525.5,70.511,0.785,-1.108,0.094,0.069,0.151,-1
2008-07-28 15:11:00,15.151,-0.008,75.294,0.043,119.356,13.793,36.34,1.962,-5085.25,63.511,2.166,-0.047,0.143,0.084,0.173,1
2008-07-28 23:57:00,-2.664,-0.008,21.971,0.013,6.446,8.017,1.28,5.737,-5626.25,64.178,2.004,0.095,0.048,0.043,0.104,-1
2008-07-29 04:08:00,-2.464,-0.008,70.517,0.016,8.098,4.571,47.52,3.452,-6033.25,62.289,2.12,0.095,0.058,0.027,0.057,-1
2008-07-29 05:16:00,19.314,-0.009,42.105,0.053,6.345,8.91,13.35,4.785,-5415.75,69.0,2.401,-1.204,0.174,0.049,0.115,-1
2008-07-29 06:19:00,8.304,-0.007,76.895,0.019,154.014,137.644,159.987,135.41,-4731.0,60.844,133.448,-0.426,0.073,0.45,0.926,-1
2008-07-29 08:23:00,5.03,-0.006,113.004,0.013,7.217,5.202,5.391,2.151,-5546.5,69.067,0.962,-0.426,0.056,0.028,0.068,1
2008-07-29 11:47:00,12.094,-0.007,41.062,0.016,215.986,204.889,231.637,201.351,-3281.0,63.133,201.979,0.095,0.063,0.508,0.901,-1
2008-07-29 15:41:00,23.137,-0.008,42.7,0.025,150.828,141.766,163.972,135.062,-4667.25,61.867,133.904,0.095,0.087,0.447,0.947,-1
2008-07-29 15:49:00,25.038,-0.009,96.97,0.024,20.791,16.137,2.056,4.874,-5300.25,69.067,1.553,-1.108,0.081,0.097,0.208,1
2008-07-29 17:05:00,23.311,-0.008,18.006,0.022,6.459,7.971,13.686,6.314,-5553.0,69.556,1.651,-0.426,0.084,0.049,0.103,1
2008-07-29 18:08:00,23.956,-0.009,49.067,0.012,14.036,11.429,2.911,5.541,-5394.0,68.356,2.577,-0.426,0.044,0.07,0.145,1
