공정명,설비번호,온도_섭씨,압력_Pa,가스유량_slm,두께_nm,진공도_mTorr,습도_pct,검사결과
식각,EQ-03,300.0,997.3,53.67,100.51,5.5,49.8,0
식각,EQ-03,294.6,1018.2,50.88,95.48,4.61,42.7,0
포토,EQ-02,299.6,996.3,51.55,98.23,5.46,53.8,0
포토,EQ-04,307.2,1028.8,52.35,102.23,5.02,45.9,0
증착,EQ-02,296.6,1017.8,50.85,95.13,5.04,43.5,0
증착,EQ-04,298.9,1013.9,52.66,98.46,5.08,44.3,0
포토,EQ-01,293.8,993.5,48.34,96.54,4.94,46.7,1
증착,EQ-02,297.6,1024.2,52.73,98.44,5.35,47.5,0
산화,EQ-01,298.1,1034.7,49.55,100.96,5.26,52.4,0
증착,EQ-03,308.8,1003.1,51.47,103.16,5.28,47.9,0
식각,EQ-01,303.4,1008.0,49.13,101.28,5.0,42.0,0
산화,EQ-01,299.3,1007.9,50.26,96.02,5.66,47.2,1
식각,EQ-04,306.2,1010.9,49.29,104.09,4.9,42.0,1
세정,EQ-01,303.4,1007.1,56.0,101.6,5.09,43.7,0
포토,EQ-02,294.2,1013.6,48.3,95.32,5.5,47.6,0
산화,EQ-03,302.2,990.2,50.24,100.37,5.39,46.6,1
증착,EQ-03,302.2,1003.0,47.66,99.14,4.77,48.9,1
세정,EQ-03,296.5,994.7,46.21,97.9,5.28,51.0,0
증착,EQ-04,300.6,1008.9,52.53,100.77,5.5,44.0,1
세정,EQ-04,300.8,1011.9,50.97,100.5,5.11,40.1,0
포토,EQ-02,291.2,1006.9,51.29,95.78,4.91,50.7,0
세정,EQ-04,302.0,1020.3,51.2,97.96,5.49,42.0,0
식각,EQ-01,303.3,1012.3,52.81,103.51,5.38,47.3,0
증착,EQ-03,303.2,1011.9,52.14,101.65,5.16,43.8,0
세정,EQ-02,294.4,1006.7,51.32,98.26,4.96,45.7,0
산화,EQ-03,288.8,1013.2,47.63,93.27,5.58,40.3,1
식각,EQ-04,305.0,1010.5,51.98,107.97,4.54,42.3,0
산화,EQ-01,294.6,1003.8,45.07,93.93,5.5,47.6,0
포토,EQ-02,304.2,1020.7,49.88,101.98,5.22,43.1,0
산화,EQ-04,293.9,1008.1,52.27,92.64,4.81,45.7,0
식각,EQ-04,301.9,1014.7,46.18,104.01,4.77,48.1,0
세정,EQ-04,294.3,1012.3,58.5,93.84,4.58,47.7,0
산화,EQ-03,303.1,1017.1,54.25,102.86,5.2,45.9,0
식각,EQ-04,310.3,1019.6,53.95,103.14,5.0,44.0,1
식각,EQ-03,300.4,1013.6,44.61,100.81,4.62,47.4,0
포토,EQ-01,296.9,1014.0,47.77,99.82,5.14,40.9,0
포토,EQ-03,289.3,1018.3,53.68,95.3,4.3,42.5,1
세정,EQ-02,294.7,1012.0,53.35,93.56,5.11,47.8,0
세정,EQ-01,301.5,1001.7,47.25,100.84,5.23,43.5,0
식각,EQ-03,305.8,997.9,49.93,104.88,5.0,41.2,0
증착,EQ-04,303.4,1005.8,55.92,99.83,4.41,45.9,0
증착,EQ-03,298.5,1028.9,53.43,102.99,5.18,48.0,0
식각,EQ-01,295.3,1000.2,49.2,95.97,5.33,44.6,0
식각,EQ-01,292.1,1035.3,45.17,96.8,4.91,39.4,1
산화,EQ-01,309.7,1018.0,51.13,107.35,4.83,35.1,0
세정,EQ-03,310.6,1004.2,51.0,104.11,4.76,43.9,0
증착,EQ-02,293.9,1010.6,52.97,98.47,5.09,42.9,1
포토,EQ-04,300.1,1007.7,55.38,100.65,5.09,46.6,0
세정,EQ-04,287.4,1031.2,44.42,93.14,5.25,45.0,1
식각,EQ-04,294.9,1014.0,50.59,99.89,4.91,43.9,0
증착,EQ-02,290.3,1025.0,48.89,92.72,4.72,48.9,1
산화,EQ-01,301.5,1007.4,46.84,97.96,5.32,43.8,0
산화,EQ-04,313.2,1011.4,47.46,108.54,5.03,39.3,1
세정,EQ-02,292.7,1015.0,46.41,94.7,4.52,43.8,0
산화,EQ-02,304.3,1019.3,46.71,103.13,4.64,46.7,0
산화,EQ-04,304.9,1017.7,49.65,102.94,5.22,44.2,0
포토,EQ-02,303.9,1021.3,,101.18,4.74,43.3,0
포토,EQ-03,296.9,1004.5,46.88,97.59,5.12,40.9,0
증착,EQ-04,308.6,1022.1,46.79,100.03,4.56,49.6,0
포토,EQ-04,304.5,1024.1,48.21,103.82,5.11,39.4,0
세정,EQ-02,310.3,1011.4,53.89,106.18,4.83,43.4,0
식각,EQ-02,298.7,1027.3,51.35,99.4,5.16,44.2,0
식각,EQ-04,298.3,1028.3,48.8,101.63,5.21,42.1,1
산화,EQ-01,303.3,1010.1,53.53,102.44,5.56,47.8,0
세정,EQ-01,297.3,1002.2,50.8,99.22,5.23,49.2,0
세정,EQ-03,302.6,1018.6,49.58,102.54,4.76,42.6,0
증착,EQ-01,306.4,1005.9,48.25,101.78,5.41,47.9,0
포토,EQ-02,302.8,1010.9,49.82,99.41,4.68,42.5,0
증착,EQ-01,295.1,1010.0,48.76,96.25,4.97,47.2,0
산화,EQ-02,302.1,1034.8,50.74,101.89,5.1,42.3,0
식각,EQ-01,296.9,1017.1,47.68,100.72,5.26,44.3,0
세정,EQ-03,307.7,1027.7,53.6,105.43,5.34,49.8,1
세정,EQ-02,300.8,1019.7,55.54,102.73,4.67,51.1,0
증착,EQ-01,295.5,1025.7,49.42,98.53,5.16,45.6,0
산화,EQ-04,298.5,1002.4,46.73,99.89,5.28,43.5,0
포토,EQ-04,295.2,1016.7,51.55,97.92,4.99,49.9,0
