측정시간,로트번호,웨이퍼번호,설비번호,공정명,작업조,온도_섭씨,압력_Pa,진공도_mTorr,두께_nm,진동_mm_s,처리시간_sec,냉각수온도_섭씨,습도_pct,불량유형,검사결과
2024-03-01 00:00,LOT-0271,16,EQ-01,포토,A조,300.0,1015.4,5.4,102.62,0.497,118.0,20.09,41.4,,0
2024-03-01 01:00,LOT-0086,18,EQ-01,산화,B조,300.6,1009.4,4.62,98.3,0.513,109.8,17.99,41.4,,0
2024-03-01 07:00,LOT-0107,2,EQ-02,산화,A조,298.6,1008.1,5.5,100.1,0.528,124.4,20.2,41.3,,0
2024-03-01 08:00,LOT-0057,25,EQ-04,증착,C조,295.4,1015.8,5.13,93.31,0.442,124.6,19.9,46.0,,0
2024-03-01 12:00,LOT-0424,20,EQ-04,세정,A조,302.9,1014.2,4.52,104.34,0.49,122.6,22.06,42.0,두께 불량,1
2024-03-01 15:00,LOT-0770,14,EQ-02,산화,B조,304.0,1002.5,5.38,104.67,0.531,121.5,20.86,40.6,,0
2024-03-01 22:00,LOT-0844,19,EQ-03,산화,B조,298.7,1024.4,5.24,99.21,0.476,127.9,19.83,47.4,,0
2024-03-02 09:00,LOT-0031,2,EQ-01,식각,B조,297.5,1029.9,5.01,99.31,0.595,115.1,19.08,41.8,,0
2024-03-02 12:00,LOT-0845,14,EQ-02,증착,C조,297.3,1015.0,4.62,102.09,0.603,119.2,20.93,48.9,,0
2024-03-02 13:00,LOT-0678,4,EQ-02,산화,A조,305.8,1016.1,5.28,102.43,0.658,126.7,20.06,41.5,,0
2024-03-02 14:00,LOT-0805,9,EQ-01,식각,B조,301.6,1023.5,4.77,103.17,0.531,114.6,22.3,44.5,,0
2024-03-02 22:00,LOT-0703,21,EQ-03,산화,A조,297.6,1025.2,4.89,100.8,0.547,115.5,18.94,38.6,,0
2024-03-03 05:00,LOT-0120,12,EQ-01,산화,A조,298.3,997.6,5.14,99.15,0.527,125.7,19.57,45.0,,0
2024-03-03 08:00,LOT-0309,2,EQ-02,식각,B조,292.6,1003.6,5.54,95.05,0.835,124.6,19.27,44.3,식각 부족,1
2024-03-03 19:00,LOT-0087,14,EQ-02,포토,A조,299.9,1008.8,5.02,99.08,0.69,122.0,18.2,43.7,,0
2024-03-03 23:00,LOT-0080,7,EQ-03,세정,B조,299.8,1022.5,4.41,99.15,0.487,121.7,19.53,51.5,,0
2024-03-04 04:00,LOT-0213,20,EQ-01,식각,A조,300.8,991.9,4.54,99.4,0.481,127.2,19.5,43.8,,0
2024-03-04 22:00,LOT-0823,3,EQ-02,세정,A조,300.8,1021.1,4.63,103.66,0.716,115.7,20.58,40.8,,0
